;;;;;;;;;;;;;;;;
CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
05-01-0049-42;05-022;ESCUINTLA;ESCUINTLA;EODP ANEXA A EOUM;COLONIA SAN FELIPE;42144932;JUAN ALBERTO MACHUCA ALVAREZ;REYNA ISABEL MɎDEZ TELLO;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0049-43;05-022;ESCUINTLA;ESCUINTLA;EOUM;COLONIA SAN FELIPE EL CEMENTERIO;49145937;JUAN ALBERTO MACHUCA ALVAREZ;REYNA ISABEL MɎDEZ TELLO;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0050-43;05-022;ESCUINTLA;ESCUINTLA;EOUM;COLONIA SAN PEDRO;78893518;JUAN ALBERTO MACHUCA ALVAREZ;AUGUSTO WALDEMAR DEL CID DEL CID;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0051-43;05-022;ESCUINTLA;ESCUINTLA;EOUM;6A. AVE. 0-82 ZONA 4, COLONIA LOS NARANJALES;78897050;JUAN ALBERTO MACHUCA ALVAREZ;SANDY MEDINA RAM͒EZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0052-42;05-022;ESCUINTLA;ESCUINTLA;EODP ANEXA EOUM;COLONIA EL QUETZAL;55136285;JUAN ALBERTO MACHUCA ALVAREZ;LUCRECIA PADILLA MORALES;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0052-43;05-022;ESCUINTLA;ESCUINTLA;EOUM;COLONIA EL QUETZAL;41180630;JUAN ALBERTO MACHUCA ALVAREZ;LUCRECIA PADILLA MORALES;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0053-43;05-021;ESCUINTLA;ESCUINTLA;EOUM;COLONIA HUNAPU;55693146;LUZ DEL ROSARIO RODRIGUEZ DE LEON;CESAR ERNESTO BERGER ORDӑEZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0054-42;05-021;ESCUINTLA;ESCUINTLA;EODP ANEXA A EOUM;3A. CALLE Y 5A AVENIDA LOTE 34 ZONA 4 COLONIA EL ESFUERZO;78841288;LUZ DEL ROSARIO RODRIGUEZ DE LEON;ANA MERCEDES CABRERA ESTɖEZ;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0054-43;05-021;ESCUINTLA;ESCUINTLA;EOUM;3A. CALLE Y 5A AVENIDA. LOTE 34 ZONA 4 COLONIA EL ESFUERZO;78841288;LUZ DEL ROSARIO RODRIGUEZ DE LEON;ANA MERCEDES CABRERA ESTɖEZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0055-43;05-022;ESCUINTLA;ESCUINTLA;EOUM 20 DE OCTUBRE;4A. AVE. Y 1A. CALLE ZONA 1;41932906;JUAN ALBERTO MACHUCA ALVAREZ;AROLDO FRANCISCO MART͎EZ GӍEZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0056-43;05-021;ESCUINTLA;ESCUINTLA;EOUV JOSE FRANCISCO AZURDIA;7A. CALLE 3-02 ZONA 1;78880365;LUZ DEL ROSARIO RODRIGUEZ DE LEON;JULIO ANTONIO MELGAR OLIVEROS;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0057-43;05-022;ESCUINTLA;ESCUINTLA;EOUM;FINAL 2A. CALLE Y 4A AV. 3-81 ZONA 4, COLONIA PALMERAS DEL SUR;78898983;JUAN ALBERTO MACHUCA ALVAREZ;EDNA ALICIA GLVEZ CHINCHILLA;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0058-43;05-021;ESCUINTLA;ESCUINTLA;EOUM HUGO EFRAIN BARRERA DE PAZ;COLONIA LA POPULAR;50144836;LUZ DEL ROSARIO RODRIGUEZ DE LEON;JENNIFER MATILDE LӐEZ MORALES;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0059-43;05-025;ESCUINTLA;ESCUINTLA;EORM;COLONIA PALMERAS DEL NORTE;78890207;ALMA LIBERTAD PEREZ MARTINEZ;MARITZA BLANCO MIJANGOS;PRIMARIA;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0060-43;05-021;ESCUINTLA;ESCUINTLA;EOUM;2A. CALLE A 3-50, ZONA 3, COLONIA EL RECREO.;78896766;LUZ DEL ROSARIO RODRIGUEZ DE LEON;SARA YANETH MORENO RIVERA;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0061-43;05-021;ESCUINTLA;ESCUINTLA;EOUM;2DA. CALLE 2DA Y 3RA. AV. SECTOR EL CUADRO ZONA 2 COLONIA LA INDUSTRIA;78890473;LUZ DEL ROSARIO RODRIGUEZ DE LEON;GLADYS ADELAIDA VELIZ SAZO;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0062-43;05-021;ESCUINTLA;ESCUINTLA;"EOUN NO.1 ""15 DE SEPTIEMBRE""";1A. AVE. 3-40 ZONA 1;78880724;LUZ DEL ROSARIO RODRIGUEZ DE LEON;EMA LIL͠MORALES GRANADOS;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0063-43;05-022;ESCUINTLA;ESCUINTLA;EOUM;6TA. CALLE 5-99 ZONA 3 COLONIA SEBASTOPOL;54134704;JUAN ALBERTO MACHUCA ALVAREZ;SARA VIRGINIA PɒEZ RUIZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0064-43;05-022;ESCUINTLA;ESCUINTLA;EOUM FRATERNO VILA BETORET;4A. CALLE 0-28 ZONA 2, COLONIA INDEPENDENCIA;41134172;JUAN ALBERTO MACHUCA ALVAREZ;SINDY ELIZABETH MARCIAL VICENTE;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
